title,publishTime,category,intro,maxFreeChapter,newRating,free,price,cover
美国少儿英语（英文彩色插图版）（第二辑·套装共3册）,2018-12-01 00:00:00,童书-少儿英语,《美国少儿英语》第一辑（由曾任纽约市公立小学校长爱达·寇编写）上市后，得到了读者的认可，一直常销。不少英语老师特别推荐给学生作为英语原版阅读的素材。对于早期英语阅读者，选择什么样的素材来读甚为重要。一套好的初级阅读书，从单词音节数、词汇量，到句式结构、文体和内容安排等，须要经过周密而科学的考量，宜于读者识读单词、理解句意，形成整体思维与逻辑，读后能恰当转述与记忆。从这些因素考虑，由西方学校一线教师编写的读物会更为有效。中国孩子直接用作阅读训练，是个不错的选择。《美国少儿英语》（第二辑），由美国著名教育家与教材编写者威廉·H.爱尔森和卢娜·E.伦克尔编写，适宜中国小学高年级和初中段学生使用。全书共三册，由简到难，包含童谣、诗歌和故事等，是一套英语文学阅读的入门级读本。期盼读者受益并喜欢！,24,818,0,49.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/148/23869148/s_23869148.jpg
小王子（全彩英文版）,2017-04-01 00:00:00,童书-少儿英语,这是一部写给所有人看的童话，一则关于爱与责任的寓言。遥远星球上的小王子，与美丽而骄傲的玫瑰吵架负气出走，在各星球漫游中，小王子遇到了傲慢的国王、酒鬼、唯利是图的商人、死守教条的地理学家等，最后来到地球上，试图找到治愈孤独和痛苦的良方。这时，他遇到一只奇怪的狐狸，于是奇妙而令人惊叹的事情发生了。本书以美国兰登书屋、英国企鹅出版社等经典英译本为参照，并辅以法国伽利马出版社1945年原版定本校正。作者安托万·德·圣-埃克苏佩里（法语：Antoine de Saint-Exupéry，又译圣艾修伯里、圣埃克絮佩里、圣埃克苏佩里 等），1900年6月29日-1944年7月31日，法国作家。他是法国最早的一代飞行员之一。1940年流亡美国，侨居纽约，埋头文学创作。1943年参加盟军在北非的抗战。1944年他在执行第八次飞行侦察任务时失踪。其作品主要描述飞行员生活，代表作有小说《夜航》，散文集《人的大地》《空军飞行员》，童话《小王子》等。,9,900,0,3.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/525/40133525/s_40133525.jpg
美国少儿英语（英文彩色插图版）（第二辑·第1册）,2018-12-01 00:00:00,童书-少儿英语,《美国少儿英语》第一辑（由曾任纽约市公立小学校长爱达·寇编写）上市后，得到了读者的认可，一直常销。不少英语老师特别推荐给学生作为英语原版阅读的素材。对于早期英语阅读者，选择什么样的素材来读甚为重要。一套好的初级阅读书，从单词音节数、词汇量，到句式结构、文体和内容安排等，须要经过周密而科学的考量，宜于读者识读单词、理解句意，形成整体思维与逻辑，读后能恰当转述与记忆。从这些因素考虑，由西方学校一线教师编写的读物会更为有效。中国孩子直接用作阅读训练，是个不错的选择。《美国少儿英语》（第二辑），由美国著名教育家与教材编写者威廉·H.爱尔森和卢娜·E.伦克尔编写，适宜中国小学高年级和初中段学生使用。全书共三册，由简到难，包含童谣、诗歌和故事等，是一套英语文学阅读的入门级读本。期盼读者受益并喜欢！,9,871,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/150/23869150/s_23869150.jpg
我是一个兵：少年空降兵（八路叔叔少年军事科普小说）,2022-04-27 00:00:00,童书-少儿英语,T小队的少年们加入了空降兵部队中赫赫有名的“雷神”突击队。他们空降莽莽丛林，体验丛林狙击赛的刺激；挑战“高跳低开”，感受极限跳伞的速度与激情；空降参与军事演习，与神秘的蓝军部队斗智斗勇；暗夜出动，深入敌境，与恐怖分子展开生死较量……,8,0,0,9.99,https://weread-1258476243.file.myqcloud.com/weread/cover/45/3300017445/s_3300017445.jpg
美国少儿英语（英文彩色插图版）（第二辑·第2册）,2018-12-01 00:00:00,童书-少儿英语,《美国少儿英语》第一辑（由曾任纽约市公立小学校长爱达·寇编写）上市后，得到了读者的认可，一直常销。不少英语老师特别推荐给学生作为英语原版阅读的素材。对于早期英语阅读者，选择什么样的素材来读甚为重要。一套好的初级阅读书，从单词音节数、词汇量，到句式结构、文体和内容安排等，须要经过周密而科学的考量，宜于读者识读单词、理解句意，形成整体思维与逻辑，读后能恰当转述与记忆。从这些因素考虑，由西方学校一线教师编写的读物会更为有效。中国孩子直接用作阅读训练，是个不错的选择。《美国少儿英语》（第二辑），由美国著名教育家与教材编写者威廉·H.爱尔森和卢娜·E.伦克尔编写，适宜中国小学高年级和初中段学生使用。全书共三册，由简到难，包含童谣、诗歌和故事等，是一套英语文学阅读的入门级读本。期盼读者受益并喜欢！,11,846,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/152/23869152/s_23869152.jpg
绿野仙踪（中英全两册）,2014-03-01 00:00:00,童书-少儿英语,　　有一天，一个名叫多萝西的小姑娘与她的小狗，连同她所住的房子被龙卷风吹到了一个奇怪的地方。多萝西想回家，一个好心的女巫告诉她，只有一个叫OZ的巫师才能够帮助她找到回家的路。多萝西踏上了寻找OZ的冒险之旅。一路上，她先后遇到几个非同寻常的朋友……稻草人、白铁樵夫和胆小的狮子。它们也在寻找OZ巫师。在经历了一系列的惊险之后，他们来到绿宝石城，终于见到了伟大的OZ巫师。,15,778,0,10.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/915/31283915/s_31283915.jpg
与孩子一起说英文：动作篇（1阶）,2013-08-01 00:00:00,童书-少儿英语,本书是是指导家长在家庭中带领孩子进行亲子口语对话的书籍。详细介绍了家庭生活各方面的各种动作的表达。内容包括：家务英语、食品英语、卫生英语、床上英语、交通英语、生物英语、科学英语、情商英语，以及有关品德与礼仪的礼貌英语等领域动作表达的口语。本书是是指导家长在家庭中带领孩子进行亲子口语对话的书籍。详细介绍了家庭生活各方面的各种动作的表达。内容包括：家务英语、食品英语、卫生英语、床上英语、交通英语、生物英语、科学英语、情商英语，以及有关品德与礼仪的礼貌英语等领域动作表达的口语。,10,842,0,7.44,https://wfqqreader-1252317822.image.myqcloud.com/cover/396/657396/s_657396.jpg
美国少儿英语（英文彩色插图版）（第二辑·第3册）,2018-12-01 00:00:00,童书-少儿英语,《美国少儿英语》第一辑（由曾任纽约市公立小学校长爱达·寇编写）上市后，得到了读者的认可，一直常销。不少英语老师特别推荐给学生作为英语原版阅读的素材。对于早期英语阅读者，选择什么样的素材来读甚为重要。一套好的初级阅读书，从单词音节数、词汇量，到句式结构、文体和内容安排等，须要经过周密而科学的考量，宜于读者识读单词、理解句意，形成整体思维与逻辑，读后能恰当转述与记忆。从这些因素考虑，由西方学校一线教师编写的读物会更为有效。中国孩子直接用作阅读训练，是个不错的选择。《美国少儿英语》（第二辑），由美国著名教育家与教材编写者威廉·H.爱尔森和卢娜·E.伦克尔编写，适宜中国小学高年级和初中段学生使用。全书共三册，由简到难，包含童谣、诗歌和故事等，是一套英语文学阅读的入门级读本。期盼读者受益并喜欢！,17,0,0,19.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/154/23869154/s_23869154.jpg
问问熊先生,2015-04-17 00:00:00,童书-少儿英语,"    丹尼，一个懂事的男孩子，他一直想给妈妈找到一份完美的生日礼物。他四处打探，先后碰到了母鸡、鹅、山羊、绵羊，请求他们给妈妈送出一份生日礼物，但他们所说的礼物妈妈都已经有了。在奶牛的提议下，他找到了熊先生，正是熊先生告诉了丹尼一个秘密，帮他送了一份让妈妈特惊喜的生日礼物！
",2,731,0,0.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/38/700038/s_700038.jpg
GONE IS GONE,2015-04-01 00:00:00,童书-少儿英语,"    In this delightful story we meet Fritzl,a farmer who lives with his wife Liesi,their baby kinndli,and Spitz,their dog.Fritzl works hard in the fields every day.Liesi works hard all day,too,but Fritzl somehow feels that he works harder.
",4,610,0,0.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/35/700035/s_700035.jpg
与孩子一起唱英文：认知篇（1阶）,2013-08-01 00:00:00,童书-少儿英语,本书是指导家长带领孩子在家中进行英文认知教育的书籍，是一套非常成功的教材，打破了传统的灌输性教育。书中通过作者自己创编的朗朗上口的英文儿歌，以亲子课、早教课的边唱边做动作的形式，根据孩子成长的特性，科学而有针对性地选取各种生活场景，详细地介绍了下面这些认知内容：见面问候、认识家庭、认识自我、食物与就餐、日常生活起居、颜色与现状、时间与数字。,9,0,0,7.44,https://wfqqreader-1252317822.image.myqcloud.com/cover/394/657394/s_657394.jpg
与孩子一起玩英文：游戏篇（1阶）,2013-08-01 00:00:00,童书-少儿英语,本书包括探索科学的游戏；培养音乐与艺术感的游戏；强健体魄的游戏；培养好习惯的游戏；提高快速反应能力的游戏；培养合作与沟通能力的游戏；提高想象力的游戏等。本书不但介绍了游戏的玩法，而且提供了游戏过程中使用的各种词汇、句型和游戏过程中需用到的英文表达。,8,864,0,7.44,https://wfqqreader-1252317822.image.myqcloud.com/cover/398/657398/s_657398.jpg
与孩子一起玩英文：游戏篇（2阶）,2013-08-01 00:00:00,童书-少儿英语,本书包括探索科学的游戏；培养音乐与艺术感的游戏；强健体魄的游戏；培养好习惯的游戏；提高快速反应能力的游戏；培养合作与沟通能力的游戏；提高想象力的游戏等。本书不但介绍了游戏的玩法，而且提供了游戏过程中使用的各种词汇、句型和游戏过程中需用到的英文表达。,7,0,0,7.44,https://wfqqreader-1252317822.image.myqcloud.com/cover/399/657399/s_657399.jpg
Wanda Gag Treasury（婉达·盖格绘本典藏）,2015-04-17 00:00:00,童书-少儿英语,"    美国著名图画书女作家，美国“真正绘本”时代开创者，纽伯瑞奖和凯迪克银奖获得者婉达·盖格，献给世上孩子们的爱心书。婉达·盖格深知孩子倾听大人用绘声绘色的口吻讲故事时的那种喜悦，所以她没有把她的作品画成是一本孩子自己去读的图画书，而是一本大人读给孩子听的图画书，书中都是孩子一边听大人读、一边自己看的插图，其笔触如行云流水。正因为这样的精神，以及其在绘画与文字上的独特风采，她的经典绘本系列至今魅力依旧。
",3,731,0,0.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/36/700036/s_700036.jpg
THE ABC BUNNY,2015-04-01 00:00:00,童书-少儿英语,"    An unfortunate accident with an Apple drives Bunny from Bunny land to Elsewhere.Every letter in the alphabet is represented in Bunny's journey,through what he eats(Greens),to whom he meets,and then a little sleep(Nap),to Tripping back to town,right side Up and Up-sidedown.
",4,566,0,0.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/34/700034/s_700034.jpg
Snippy and Snappy,2015-04-01 00:00:00,童书-少儿英语,"    we are introduced to brother and sister field mice living with their mother and father in a cozy nook in a hay field.Their father enthralls them with stories about gardens in big fields,houses in big gardens,kitchen cupboards in big houses,and big yellow cheeses in big kitchen cupboards.
",4,679,0,0.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/31/700031/s_700031.jpg
与孩子一起唱英文：认知篇（2阶）,2013-08-01 00:00:00,童书-少儿英语,本书是指导家长带领孩子在家中进行英文认知教育的书籍，是一套非常成功的教材，打破了传统的灌输性教育。书中通过作者自己创编的朗朗上口的英文儿歌，以亲子课、早教课的边唱边做动作的形式，根据孩子成长的特性，科学而有针对性地选取各种生活场景，详细地介绍了下面这些认知内容：植物与动物、天气与季节、交通出行、情商与品德，以及其他各种日常生活情景。,12,0,0,7.44,https://wfqqreader-1252317822.image.myqcloud.com/cover/395/657395/s_657395.jpg
Millions of cats,2015-04-17 00:00:00,童书-少儿英语,"    Winner of Newbery Honor,Wanda Gág's timeless tales tells of an old man who sets off in search of a beautiful cat to bring home as a companion for his wife.But instead of one cat,he comes back with""Hundreds of cats,thousands of cats,Millions and billions and trillions of cats""…
",2,643,0,0.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/30/700030/s_700030.jpg
安格斯奇遇记(5)：安格斯和托普茜,2015-04-10 00:00:00,童书-少儿英语,"    托普茜是一只在商店橱窗等人买走的可卡犬，小女孩朱迪看到后请求妈妈买下带走，但妈妈没同意。萨曼莎小姐将托普茜带回了家，然而托普茜过得似乎并不愉快，她跑出院子，见到了安格斯，还有贝丝，并最终见到了朱迪……
",1,0,0,0.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/28/700028/s_700028.jpg
Nothing at all,2015-04-17 00:00:00,童书-少儿英语,"    ""Nothing-at-all""is the name of an orphaned puppy living with his two brothers until two children come to adopt them.Unfortunately,Nothing-at-all gets inadvertently left behind－not out of cruelty,but because he is invisible!
",4,682,0,0.99,https://wfqqreader-1252317822.image.myqcloud.com/cover/32/700032/s_700032.jpg
